id	name	formula
SUCCt2_2pp	Succinate transport via proton symport (2 H) (periplasm)	2.0 h_p + succ_p --> 2.0 h_c + succ_c
SUCFUMtpp	Succinate:fumarate antiporter (periplasm)	fum_p + succ_c <=> fum_c + succ_p
SUCptspp	Sucrose transport via PEP:Pyr  (periplasm)	pep_c + sucr_p --> pyr_c + suc6p_c
SULabcpp	Sulfate transport via ABC system (periplasm)	atp_c + h2o_c + so4_p --> adp_c + h_c + pi_c + so4_c
TSULabcpp	Thiosulfate transport via ABC system (periplasm)	atp_c + h2o_c + tsul_p --> adp_c + h_c + pi_c + tsul_c
TARTRt7pp	Tartrate/succinate antiporter (periplasm)	succ_c + tartr__L_p <=> succ_p + tartr__L_c
AHGDx	(S)-alpha-hydroxyglutarate dehydrogenase	S2hglut_c + nad_c <=> akg_c + h_c + nadh_c
TAURabcpp	Taurine transport via ABC system (periplasm)	atp_c + h2o_c + taur_p --> adp_c + h_c + pi_c + taur_c
THMDt2pp_copy1	Thymidine transport in via proton symport (periplasm)	h_p + thymd_p --> h_c + thymd_c
EX_ca2_e	Calcium exchange	ca2_e <=> 
EX_so3_e	Sulfite exchange	so3_e --> 
Kt2pp	Potassium transport in via proton symport (periplasm)	h_p + k_p --> h_c + k_c
AKGt2rpp	2-oxoglutarate reversible transport via symport (periplasm)	akg_p + h_p <=> akg_c + h_c
XYLt2pp	D-xylose transport in via proton symport (periplasm)	h_p + xyl__D_p --> h_c + xyl__D_c
EX_ascb__L_e	L-Ascorbate exchange	ascb__L_e --> 
EX_ala_B_e	Beta-Alanine exchange	ala_B_e --> 
EX_agm_e	Agmatine exchange	agm_e --> 
EX_minohp_e	Myo-Inositol hexakisphosphate exchange	minohp_e --> 
EX_ppt_e	Phosphonate exchange	ppt_e --> 
EX_hxa_e	Hexanoate (n-C6:0) exchange	hxa_e --> 
EX_lyx__L_e	L-Lyxose exchange	lyx__L_e --> 
EX_acmum_e	N-Acetylmuramate exchange	acmum_e --> 
EX_dca_e	Decanoate (n-C10:0) exchange	dca_e --> 
EX_all__D_e	D-Allose exchange	all__D_e --> 
EX_octa_e	Octanoate (n-C8:0) exchange	octa_e --> 
EX_xylu__L_e	L-Xylulose exchange	xylu__L_e --> 
EX_gdp_e	GDP exchange	gdp_e --> 
EX_gtp_e	GTP exchange	gtp_e --> 
THMabcpp	Thiamine transport via ABC system (periplasm)	atp_c + h2o_c + thm_p --> adp_c + h_c + pi_c + thm_c
THMDt2pp_copy2	Thymidine transport in via proton symport (periplasm)	h_p + thymd_p <=> h_c + thymd_c
THRabcpp	L-threonine transport via ABC system (periplasm)	atp_c + h2o_c + thr__L_p --> adp_c + h_c + pi_c + thr__L_c
TREptspp	Trehalose transport via PEP:Pyr PTS (periplasm)	pep_c + tre_p --> pyr_c + tre6p_c
TRPt2rpp	L-tryptophan reversible transport via proton symport (periplasm)	h_p + trp__L_p <=> h_c + trp__L_c
TYRt2rpp	L-tyrosine reversible transport via proton symport (periplasm)	h_p + tyr__L_p <=> h_c + tyr__L_c
URIt2pp_copy1	Uridine transport in via proton symport (periplasm)	h_p + uri_p --> h_c + uri_c
URIt2pp_copy2	Uridine transport in via proton symport (periplasm)	h_p + uri_p <=> h_c + uri_c
VALabcpp	L-valine transport via ABC system (periplasm)	atp_c + h2o_c + val__L_p --> adp_c + h_c + pi_c + val__L_c
XTSNt2rpp	Xanthosine transport via proton symport (periplasm)	h_p + xtsn_p <=> h_c + xtsn_c
XYLabcpp	D-xylose transport via ABC system (periplasm)	atp_c + h2o_c + xyl__D_p --> adp_c + h_c + pi_c + xyl__D_c
XYLUt2pp	L-xylulose transport in via proton symport (periplasm)	h_p + xylu__L_p --> h_c + xylu__L_c
THRt4pp	L-threonine  via sodium symport (periplasm)	na1_p + thr__L_p --> na1_c + thr__L_c
EX_fruur_e	D-Fructuronate exchange	fruur_e --> 
GALtex	D-galactose transport via diffusion (extracellular to periplasm)	gal_e <=> gal_p
GALCTtex	D-galactarte transport via diffusion (extracellular to periplasm)	galct__D_e <=> galct__D_p
GALCTNtex	D-galactonate transport via diffusion (extracellular to periplasm)	galctn__D_e <=> galctn__D_p
GALTtex	Galactitol transport via diffusion (extracellular to periplasm)	galt_e <=> galt_p
GALURtex	D-galacturonate transport via diffusion (extracellular to periplasm)	galur_e <=> galur_p
GTPCI	GTP cyclohydrolase I	gtp_c + h2o_c --> ahdt_c + for_c + h_c
FDMO	FMNH2-dependent monooxygenase	fmnh2_c + isetac_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c
FEOXAMabcpp	Ferroxamine transport via ABC system (periplasm)	atp_c + feoxam_p + h2o_c --> adp_c + feoxam_c + h_c + pi_c
CBL1abcpp	Cob(1)alamin transport via ABC system (periplasm)	atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c
ACACt2pp	Acetoacetate transport via proton symport  (periplasm)	acac_p + h_p <=> acac_c + h_c
ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	acgam_p + pep_c --> acgam6p_c + pyr_c
ACMANAptspp	N-acetyl-D-mannosamine transport via PTS  (periplasm)	acmana_p + pep_c --> acmanap_c + pyr_c
ACNAMt2pp	N-acetylneuraminate proton symport (periplasm)	acnam_p + h_p --> acnam_c + h_c
CHOLD	Choline dehydrogenase	chol_c + nad_c --> betald_c + h_c + nadh_c
DRPA	Deoxyribose-phosphate aldolase	2dr5p_c --> acald_c + g3p_c
TKT2	Transketolase	e4p_c + xu5p__D_c <=> f6p_c + g3p_c
EX_ch4_e	EX ch4 LPAREN e RPAREN 	ch4_e --> 
FEENTERabcpp	Fe-enterobactin transport via ABC system (periplasm)	atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c
FECRMabcpp	Ferrichrome transport via ABC system (periplasm)	atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c
GAMtex	D-glucosamine transport via diffusion (extracellular to periplasm)	gam_e <=> gam_p
GBBTNtex	Gamma-butyrobetaine transport via diffusion (extracellular to periplasm)	gbbtn_e <=> gbbtn_p
ARBt2rpp	L-arabinose transport via proton symport (periplasm)	arab__L_p + h_p <=> arab__L_c + h_c
DAPabcpp	M-diaminopimelic acid ABC transport (periplasm)	26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c
CO2tpp	CO2 transporter via diffusion (periplasm)	co2_p <=> co2_c
DHAtpp	Dihydroxyacetone transport via facilitated diffusion (periplasm)	dha_p <=> dha_c
DMSOR1pp	Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm)	dmso_p + mql8_c --> dms_p + h2o_p + mqn8_c
ARGabcpp	L-arginine transport via ABC system (periplasm)	arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c
ARGAGMt7pp	Arginine/agmatine antiport (periplasm)	agm_c + arg__L_p <=> agm_p + arg__L_c
ASCBptspp	L-ascorbate transport via PEP:Pyr PTS (periplasm)	ascb__L_p + pep_c --> ascb6p_c + pyr_c
ASNt2rpp	L-asparagine reversible transport via proton symport (periplasm)	asn__L_p + h_p <=> asn__L_c + h_c
ASPabcpp	L-aspartate transport via ABC system (periplasm)	asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c
ASPt2pp	L-aspartate transport in via proton symport (periplasm)	asp__L_p + h_p --> asp__L_c + h_c
ASPt2_2pp	Aspartate transport via proton symport (2 H) (periplasm)	asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c
ASPt2_3pp	L-asparate transport via proton symport (3 H) (periplasm)	asp__L_p + 3.0 h_p --> asp__L_c + 3.0 h_c
HIStex	L-histidine transport via diffusion (extracellular to periplasm)	his__L_e <=> his__L_p
HXAtex	Hexanoate transport via diffusion (extracellular to periplasm)	hxa_e <=> hxa_p
HYXNtex	Hypoxanthine transport via diffusion (extracellular to periplasm)	hxan_e <=> hxan_p
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)	idon__L_e <=> idon__L_p
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)	ile__L_e <=> ile__L_p
INSTtex	Inositol transport via diffusion (extracellular to periplasm)	inost_e <=> inost_p
INStex	Inosine transport via diffusion (extracellular to periplasm)	ins_e <=> ins_p
Ktex	Potassium transport via diffusion (extracellular to periplasm)	k_e <=> k_p
D_LACtex	D-lactate transport via diffusion (extracellular to periplasm)	lac__D_e <=> lac__D_p
NTD8pp	5'-nucleotidase (dGMP)	dgmp_p + h2o_p --> dgsn_p + pi_p
FRULYStex	Fructoselysine transporter via diffusion (extracellular)	frulys_e <=> frulys_p
EX_fad_e	Exchange of Flavin adenine dinucleotide oxidized	fad_e --> 
GALCTt2rpp	D-galactarte transport via proton symport, reversible (periplasm)	galct__D_p + h_p <=> galct__D_c + h_c
GALt2pp	D-galactose transport in via proton symport (periplasm)	gal_p + h_p --> gal_c + h_c
ASPtex	L-aspartate transport via diffusion (extracellular to periplasm)	asp__L_e <=> asp__L_p
ABUTt2pp	4-aminobutyrate transport in via proton symport (periplasm)	4abut_p + h_p --> 4abut_c + h_c
CYSabcpp	L-cysteine uptake via ABC system (periplasm)	atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c
SBTptspp	D-sorbitol transport via PEP:Pyr PTS (periplasm)	pep_c + sbt__D_p --> pyr_c + sbt6p_c
TREHpp	Alpha,alpha-trehalase (periplasm)	h2o_p + tre_p --> 2.0 glc__D_p
CYTBDpp	Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c
CYTBD2pp	Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)	2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c
ACALDtpp	Acetaldehyde reversible transport (periplasm)	acald_p <=> acald_c
ACt2rpp	Acetate reversible transport via proton symport (periplasm)	ac_p + h_p <=> ac_c + h_c
EX_fe3dcit_e	Fe(III)dicitrate exchange	fe3dcit_e --> 
EX_fe3hox_e	Fe(III)hydroxamate exchange	fe3hox_e --> 
EX_fecrm_e	Ferrichrome exchange	fecrm_e --> 
EX_feenter_e	Fe-enterobactin exchange	feenter_e --> 
EX_feoxam_e	Ferroxamine exchange	feoxam_e --> 
EX_cbi_e	Cobinamide exchange	cbi_e --> 
EX_arbtn_fe3_e	Aerobactin exchange	arbtn_fe3_e --> 
EX_cpgn_e	Coprogen exchange	cpgn_e --> 
EX_adocbl_e	Adenosylcobalamin exchange	adocbl_e --> 
ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c
INDOLEtex	Indole transport via diffusion (extracellular to periplasm)	indole_e <=> indole_p
L_LACtex	L-lactate transport via diffusion (extracellular to periplasm)	lac__L_e <=> lac__L_p
ACt4pp	Na+/Acetate symport (periplasm)	ac_p + na1_p --> ac_c + na1_c
ADEt2rpp	Adenine transport via proton symport (reversible) (periplasm)	ade_p + h_p <=> ade_c + h_c
ADNt2pp_copy1	Adenosine transport in via proton symport (periplasm)	adn_p + h_p --> adn_c + h_c
ADNt2pp_copy2	Adenosine transport in via proton symport (periplasm)	adn_p + h_p <=> adn_c + h_c
ALAabcpp	L-alanine transport via ABC system (periplasm)	ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c
ALLabcpp	D-allose transport via ABC system (periplasm)	all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c
ALLTNt2rpp	Allantoin transport in via proton symport (periplasm)	alltn_p + h_p <=> alltn_c + h_c
ARBabcpp	L-arabinose transport via ABC system (periplasm)	arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c
ECOAH8	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	3hodcoa_c <=> h2o_c + od2coa_c
GLCDpp	Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)	glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c
GUAtpp	Guanine transport via diffusion (periplasm)	gua_p <=> gua_c
HYD2pp	Hydrogenase (menaquinone8: 2 protons) (periplasm)	h2_c + 2.0 h_c + mqn8_c --> 2.0 h_p + mql8_c
HYXNtpp	Hypoxanthine transport (periplasm)	hxan_p <=> hxan_c
NACtpp	Nicotinic acid uptake (periplasm)	nac_p --> nac_c
FE3DCITabcpp	Iron transport from ferric-dicitrate via ABC system (periplasm)	atp_c + fe3dcit_p + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c
CPGNtonex	Coprogen transport via ton system (extracellular)	cpgn_e + h_p --> cpgn_p + h_c
GLCRtex	D-glucarate transport via diffusion (extracellular to periplasm)	glcr_e <=> glcr_p
GLCNtex	D-gluconate transport via diffusion (extracellular to periplasm)	glcn_e <=> glcn_p
GLCURtex	D-glucuronat transport via diffusion (extracellular to periplasm)	glcur_e <=> glcur_p
GLNtex	L-glutamine transport via diffusion (extracellular to periplasm)	gln__L_e <=> gln__L_p
O2tex	Oxygen transport via diffusion (extracellular to periplasm)	o2_e <=> o2_p
EX_ppa_e	Propionate exchange	ppa_e --> 
OCTAtex	Octanoate transport via diffusion (extracellular to periplasm)	octa_e <=> octa_p
ORNtex	Ornithine transport via diffusion (extracellular to periplasm)	orn_e <=> orn_p
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	3hddcoa_c <=> dd2coa_c + h2o_c
DHFS	Dihydrofolate synthase	atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
CITt7pp	Citrate transport via succinate antiport (periplasm)	cit_p + succ_c --> cit_c + succ_p
CRNt7pp	Carnitine/butyrobetaine antiporter (periplasm)	crn_p + gbbtn_c --> crn_c + gbbtn_p
EX_ni2_e	Ni2+ exchange	ni2_e <=> 
EX_no_e	Nitric oxide exchange	no_e --> 
CHLabcpp	Choline transport via ABC system (periplasm)	atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c
DGSNt2pp	Deoxyguanosine transport in via proton symport (periplasm)	dgsn_p + h_p --> dgsn_c + h_c
DINSt2pp	Deoxyinosine transport in via proton symport (periplasm)	din_p + h_p --> din_c + h_c
DURIt2pp	Deoxyuridine transport in via proton symport (periplasm)	duri_p + h_p --> duri_c + h_c
FE2abcpp	Iron (II) transport via ABC system (periplasm)	atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c
FRUptspp	D-fructose transport via PEP:Pyr PTS (periplasm)	fru_p + pep_c --> f1p_c + pyr_c
FUCtpp	L-fucose transport via proton symport (periplasm)	fuc__L_p + h_p <=> fuc__L_c + h_c
FUMt2_2pp	Fumarate transport via proton symport (2 H) (periplasm)	fum_p + 2.0 h_p --> fum_c + 2.0 h_c
FUMt2_3pp	Fumarate transport via proton symport (3 H) (periplasm)	fum_p + 3.0 h_p --> fum_c + 3.0 h_c
FEENTERtonex	Fe-enterobactin transport via ton system (extracellular)	feenter_e + h_p --> feenter_p + h_c
CSNt2pp	Cytosine transport in via proton symport (periplasm)	csn_p + h_p --> csn_c + h_c
CYNTt2pp	Cyanate transport via proton symport (periplasm)	cynt_p + h_p --> cynt_c + h_c
CYTDt2pp_copy1	Cytidine transport in via proton symport (periplasm)	cytd_p + h_p --> cytd_c + h_c
CYTDt2pp_copy2	Cytidine transport in via proton symport (periplasm)	cytd_p + h_p <=> cytd_c + h_c
DADNt2pp	Deoxyadenosine transport in via proton symport (periplasm)	dad_2_p + h_p --> dad_2_c + h_c
DCYTt2pp	Deoxycytidine transport in via proton symport (periplasm)	dcyt_p + h_p --> dcyt_c + h_c
DDGLCNt2rpp	2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)	2ddglcn_p + h_p <=> 2ddglcn_c + h_c
RMNtex	L-rhamnose transport via diffusion (extracellular to periplasm)	rmn_e <=> rmn_p
EX_meoh_e	Methanol exchange	meoh_e --> 
MALTTRtexi	Maltotriose transport via diffusion (extracellular to periplasm) irreversible	malttr_e --> malttr_p
MALTTTRtexi	MaltotetraoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	maltttr_e --> maltttr_p
MALTPTtexi	MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	maltpt_e --> maltpt_p
MALTtexi	MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	malt_e --> malt_p
GLCtex_copy1	Glucose transport via diffusion (extracellular to periplasm)	glc__D_e --> glc__D_p
FE3DCITtonex	Ferric-dicitrate transport via ton system (extracellular)	fe3dcit_e + h_p --> fe3dcit_p + h_c
PHEtex	L-phenylalanine transport via diffusion (extracellular to periplasm)	phe__L_e <=> phe__L_p
PItex	Phosphate transport via diffusion (extracellular to periplasm)	pi_e <=> pi_p
ACGAMK	N-acetylglucosamine kinase	acgam_c + atp_c --> acgam6p_c + adp_c + h_c
METS	Methionine synthase	5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c
EX_cu2_e	Cu2+ exchange	cu2_e <=> 
CYSabc2pp	L-cysteine export via ABC system (cytoplasm to periplasm)	atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c
PRASCSi	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c
TRSARr	Tartronate semialdehyde reductase	2h3oppan_c + h_c + nadh_c <=> glyc__R_c + nad_c
LYXI	Lyxose isomerase	lyx__L_c --> xylu__L_c
EX_pheme_e	Protoheme exchange	pheme_e --> 
PNTOtex	Pantothenate transport via diffusion (extracellular to periplasm)	pnto__R_e <=> pnto__R_p
PPPNtex	3-phenylpropionate transport via diffusion (extracellular to periplasm)	pppn_e <=> pppn_p
PPTtex	Phosphonate transport via diffusion (extracellular to periplasm)	ppt_e <=> ppt_p
PTRCtex	Putrescine transport via diffusion (extracellular to periplasm)	ptrc_e <=> ptrc_p
PYRtex	Pyruvate transport via diffusion (extracellular to periplasm)	pyr_e <=> pyr_p
DSERtex	D-serine transport via diffusion (extracellular to periplasm)	ser__D_e <=> ser__D_p
SERtex	L-serine transport via diffusion (extracellular to periplasm)	ser__L_e <=> ser__L_p
SO4tex	Sulfate transport via diffusion (extracellular to periplasm)	so4_e <=> so4_p
SPMDtex	Spermidine transport via diffusion (extracellular to periplasm)	spmd_e <=> spmd_p
SUCCtex	Succinate transport via diffusion (extracellular to periplasm)	succ_e <=> succ_p
SUCRtex	Sucrose transport transport via diffusion (extracellular to periplasm)	sucr_e <=> sucr_p
TARTRtex	Tartrate transport via diffusion (extracellular to periplasm)	tartr__L_e <=> tartr__L_p
TAURtex	Taurine transport via diffusion (extracellular to periplasm)	taur_e <=> taur_p
THRtex	L-threonine transport via diffusion (extracellular to periplasm)	thr__L_e <=> thr__L_p
THMDtex	Thymidine transport via diffusion (extracellular to periplasm)	thymd_e <=> thymd_p
CBIuabcpp	Cobinamide transport via ABC system (uptake, periplasm)	atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c
METDtex	D-methionine transport via diffusion (extracellular to periplasm)	met__D_e <=> met__D_p
METtex	L-methionine transport via diffusion (extracellular to periplasm)	met__L_e <=> met__L_p
MNLtex	Mannitol transport via diffusion (extracellular to periplasm)	mnl_e <=> mnl_p
NAtex	Sodium transport via diffusion (extracellular to periplasm)	na1_e <=> na1_p
NACtex	Nicotinic acid transport via diffusion (extracellular to periplasm)	nac_e <=> nac_p
NH4tex	Ammonia transport via diffusion (extracellular to periplasm)	nh4_e <=> nh4_p
URIH	Uridine hydrolase	h2o_c + uri_c --> rib__D_c + ura_c
XTSNH	Xanthosine hydrolase	h2o_c + xtsn_c --> rib__D_c + xan_c
INSH	Inosine hydrolase	h2o_c + ins_c --> hxan_c + rib__D_c
BUTtex	Butyrate transport via diffusion (extracellular to periplasm)	but_e <=> but_p
CHLtex	Choline transport via diffusion (extracellular to periplasm)	chol_e <=> chol_p
CO2tex	CO2 transport via diffusion (extracellular to periplasm)	co2_e <=> co2_p
CRNtex	L-carnitine transport via diffusion (extracellular to periplasm)	crn_e <=> crn_p
PPK2	Polyphosphate kinase	atp_c + ppi_c --> adp_c + pppi_c
DINStex	Deoxyinosine transport via diffusion (extracellular to periplasm)	din_e <=> din_p
DMStex	Dimethyl sulfide transport via diffusion (extracellular to periplasm)	dms_e <=> dms_p
CSNtex	Cytosine transport via diffusion (extracellular to periplasm)	csn_e <=> csn_p
CYNTtex	Cyanate transport via diffusion (extracellular to periplasm)	cynt_e <=> cynt_p
CYStex	L-cysteine transport via diffusion (extracellular to periplasm)	cys__L_e <=> cys__L_p
CYTDtex	Cytidine transport via diffusion (extracellular to periplasm)	cytd_e <=> cytd_p
DCAtex	Decanoate transport via diffusion (extracellular to periplasm)	dca_e <=> dca_p
DCYTtex	Deoxycytidine transport via diffusion (extracellular to periplasm)	dcyt_e <=> dcyt_p
DGSNtex	Deoxyguanosine transport via diffusion (extracellular to periplasm)	dgsn_e <=> dgsn_p
MTHFR2	5,10-methylenetetrahydrofolate reductase (NADH)	2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c
ASPO3	L-aspartate oxidase	asp__L_c + q8_c --> h_c + iasp_c + q8h2_c
ASPO5	L-aspartate oxidase	asp__L_c + fum_c --> h_c + iasp_c + succ_c
ASPO4	L-aspartate oxidase	asp__L_c + mqn8_c --> h_c + iasp_c + mql8_c
ASPO6	L-aspartate oxidase	asp__L_c + o2_c --> h2o2_c + h_c + iasp_c
LCTStex	Lactose transport via diffusion (extracellular to periplasm)	lcts_e <=> lcts_p
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	leu__L_e <=> leu__L_p
LYStex	L-lysine transport via diffusion (extracellular to periplasm)	lys__L_e <=> lys__L_p
LYXtex	L-Lyxose transport via diffusion (extracellular to periplasm)	lyx__L_e <=> lyx__L_p
MANtex	D-mannose transport via diffusion (extracellular to periplasm)	man_e <=> man_p
MAN6Ptex	Mannose 6-phosphate transport via diffusion (extracellular to periplasm)	man6p_e <=> man6p_p
MELIBtex	Melibiose transport via diffusion (extracellular to periplasm)	melib_e <=> melib_p
DMSOtex	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	dmso_e <=> dmso_p
DURItex	Deoxyuridine transport via diffusion (extracellular to periplasm)	duri_e <=> duri_p
EX_mal__D_e	D-Malate exchange	mal__D_e --> 
FRUtex	D-fructose transport via diffusion (extracellular to periplasm)	fru_e <=> fru_p
FUCtex	L-fucose transport via diffusion (extracellular to periplasm)	fuc__L_e <=> fuc__L_p
FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	fum_e <=> fum_p
ACACT5r	Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)	accoa_c + dcacoa_c <=> 3oddcoa_c + coa_c
MALDDH	Malate decarboxylating oxidoreductase (decarboxylating)	mal__D_c + nad_c --> co2_c + nadh_c + pyr_c
FE2tex	Iron (II) transport via diffusion (extracellular to periplasm)	fe2_e <=> fe2_p
NMNtex	NMN transport via diffusion (extracellular to periplasm)	nmn_e <=> nmn_p
NO2tex	Nitrite transport via diffusion (extracellular to periplasm)	no2_e <=> no2_p
DHPS2	Dihydropteroate synthase	4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c
MTHFC	Methenyltetrahydrofolate cyclohydrolase	h2o_c + methf_c <=> 10fthf_c + h_c
MTHFD	Methylenetetrahydrofolate dehydrogenase (NADP)	mlthf_c + nadp_c <=> methf_c + nadph_c
BUTt2rpp	Butyrate transport via proton symport, reversible (periplasm)	but_p + h_p <=> but_c + h_c
CADVtpp	Lysine/Cadaverine antiporter (periplasm)	15dap_c + h_p + lys__L_p --> 15dap_p + h_c + lys__L_c
QULNS	Quinolinate synthase	dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
ALKP	Alkaline phosphatase	dhap_c + h2o_c --> dha_c + pi_c
GDPtex	GDP transport via diffusion (extracellular to periplasm)	gdp_e <=> gdp_p
EX_cobalt2_e	Co2+ exchange	cobalt2_e <=> 
TMAtex	Trimethylamine transport via diffusion (extracellular to periplasm)	tma_e <=> tma_p
TMAOtex	Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)	tmao_e <=> tmao_p
TREtex	Trehalose transport via diffusion (extracellular to periplasm)	tre_e <=> tre_p
L_LACD3	L-Lactate dehydrogenase (menaquinone)	lac__L_c + mqn8_c --> mql8_c + pyr_c
L_LACD2	L-Lactate dehydrogenase (ubiquinone)	lac__L_c + q8_c --> pyr_c + q8h2_c
ACACT6r	Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r)	accoa_c + ddcacoa_c <=> 3otdcoa_c + coa_c
TRPtex	L-tryptophan transport via diffusion (extracellular to periplasm)	trp__L_e <=> trp__L_p
TSULtex	Thiosulfate transport via diffusion (extracellular to periplasm)	tsul_e <=> tsul_p
TYRtex	L-tyrosine transport via diffusion (extracellular to periplasm)	tyr__L_e <=> tyr__L_p
URAtex	Uracil transport via diffusion (extracellular to periplasm)	ura_e <=> ura_p
UREAtex	Urea transport via diffusion (extracellular to periplasm)	urea_e <=> urea_p
URItex	Uridine transport via diffusion (extracellular to periplasm)	uri_e <=> uri_p
VALtex	L-valine transport via diffusion (extracellular to periplasm)	val__L_e <=> val__L_p
XANtex	Xanthine transport via diffusion (extracellular to periplasm)	xan_e <=> xan_p
XYLtex	D-xylose transport via diffusion (extracellular to periplasm)	xyl__D_e <=> xyl__D_p
ABUTtex	4-aminobutyrate transport via diffusion (extracellular to periplasm)	4abut_e <=> 4abut_p
FORtppi	Formate transport via diffusion (cytoplasm to periplasm)	for_c --> for_p
DATPHs	DATP amine hydrolysis (spontaneous)	datp_c + h2o_c + h_c --> ditp_c + nh4_c
GLCTR1	Glucosyltransferase I (LPS core synthesis)	icolipa_c + udpg_c --> gicolipa_c + h_c + udp_c
LIPAabcpp	Lipid A transport via ABC system (periplasm)	atp_c + h2o_c + lipa_c --> adp_c + h_c + lipa_p + pi_c
LIPACabcpp	Lipid (cold) A transport via ABC system (periplasm)	atp_c + h2o_c + lipa_cold_c --> adp_c + h_c + lipa_cold_p + pi_c
GGGABADr	Gamma-glutamyl-gamma aminobutyric acid dehydrogenase	ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c
EX_mso3_e	Methanesulfonate exchange	mso3_e --> 
EX_23camp_e	2',3'-Cyclic AMP exchange	23camp_e --> 
EX_23cgmp_e	2',3'-Cyclic GMP exchange	23cgmp_e --> 
EX_23cump_e	2',3'-Cyclic UMP exchange	23cump_e --> 
EX_3amp_e	3'-AMP exchange	3amp_e --> 
EX_3gmp_e	3'-GMP exchange	3gmp_e --> 
EX_3ump_e	3'-UMP exchange	3ump_e --> 
EX_glyc__R_e	(R)-Glycerate exchange	glyc__R_e --> 
EX_eca4colipa_e	(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange	eca4colipa_e --> 
GLYOX3	Glyoxalase III	h2o_c + mthgxl_c --> h_c + lac__D_c
FDMO3	FMNH2-dependent monooxygenase (ethanesulfonate)	ethso3_c + fmnh2_c + o2_c --> acald_c + fmn_c + h2o_c + h_c + so3_c
FDMO4	FMNH2-dependent monooxygenase (butanesulfonate)	butso3_c + fmnh2_c + o2_c --> btal_c + fmn_c + h2o_c + h_c + so3_c
BUTSO3abcpp	Butanesulfonate transport via ABC system (periplasm)	atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c
ETHSO3abcpp	Ethanesulfonate transport via ABC system (periplasm)	atp_c + ethso3_p + h2o_c --> adp_c + ethso3_c + h_c + pi_c
EX_sel_e	Selenate exchange	sel_e <=> 
