Reaction_ID	Reaction_name	Subsystem	Reaction_formula	design_121	design_124	design_25	Jaccard
NAt3_2pp	Sodium proton antiporter (H:NA is 2) (periplasm)	Inorganic Ion Transport and Metabolism	2 h_p + na1_c  -> 2 h_c + na1_p 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.18	0.82
ORNabcpp	Ornithine transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + orn_p + h2o_c  -> h_c + adp_c + pi_c + orn_c 	0.00 / 18.51	0.00 / 18.51	0.00 / 22.64	0.82
PIuabcpp	Phosphate transport via ABC system (uptake, periplasm)	Inorganic Ion Transport and Metabolism	atp_c + h2o_c + pi_p  -> h_c + adp_c + 2 pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PROabcpp	L-proline transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + pro__L_p + h2o_c  -> h_c + adp_c + pi_c + pro__L_c 	0.00 / 30.85	0.00 / 30.85	0.00 / 37.73	0.82
PTRCabcpp	Putrescine transport via ABC system (periplasm)	Transport, Inner Membrane	ptrc_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + ptrc_c 	0.00 / 18.51	0.00 / 18.51	0.00 / 22.64	0.82
ASNNpp	L-asparaginase	Alanine and Aspartate Metabolism	h2o_p + asn__L_p  -> nh4_p + asp__L_p 	0.00 / 13.22	0.00 / 13.22	0.00 / 16.17	0.82
CRNabcpp	L-carnitine transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + crn_p + h2o_c  -> h_c + adp_c + pi_c + crn_c 	0.00 / 30.85	0.00 / 30.85	0.00 / 37.73	0.82
CRNDabcpp	D-carnitine transport via ABC system (periplasm)	Transport, Inner Membrane	crn__D_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + crn__D_c 	0.00 / 30.85	0.00 / 30.85	0.00 / 37.73	0.82
CTBTabcpp	Crotonobetaine transport via ABC system (periplasm)	Transport, Inner Membrane	ctbt_p + atp_c + h2o_c  -> h_c + adp_c + ctbt_c + pi_c 	0.00 / 30.85	0.00 / 30.85	0.00 / 37.73	0.82
NTPP9	Nucleoside triphosphate pyrophosphorylase (itp)	Nucleotide Salvage Pathway	h2o_c + itp_c  -> h_c + imp_c + ppi_c 	0.00 / 6.61	0.00 / 6.61	0.00 / 8.08	0.82
NTPP11	Nucleoside triphosphate pyrophosphorylase (xtp)	Nucleotide Salvage Pathway	xtp_c + h2o_c  -> h_c + ppi_c + xmp_c 	0.00 / 5.78	0.00 / 5.79	0.00 / 7.07	0.82
GPDDA4pp	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)	Glycerophospholipid Metabolism	h2o_p + g3pg_p  -> h_p + glyc_p + glyc3p_p 	0.00 / 1.93	0.00 / 1.93	0.00 / 2.36	0.82
FACOAL120t2pp	Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling)	Cell Envelope Biosynthesis	h_p + atp_c + ddca_p + coa_c  -> h_c + ddcacoa_c + ppi_c + amp_c 	0.00 / 5.00	0.00 / 5.00	0.00 / 6.12	0.82
FACOAL140t2pp	Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling)	Cell Envelope Biosynthesis	h_p + atp_c + ttdca_p + coa_c  -> h_c + tdcoa_c + ppi_c + amp_c 	0.00 / 5.00	0.00 / 5.00	0.00 / 6.12	0.82
CU2abcpp	Copper (Cu+2) ABC transporter (periplasm)	Inorganic Ion Transport and Metabolism	atp_c + h2o_c + cu2_c  -> h_c + cu2_p + adp_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
COBALT2abcpp	Cobalt (Co+2) ABC transporter (periplasm)	Inorganic Ion Transport and Metabolism	atp_c + cobalt2_c + h2o_c  -> h_c + adp_c + pi_c + cobalt2_p 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NI2abcpp	Nickle (Ni+2) ABC transporter (periplasm)	Inorganic Ion Transport and Metabolism	ni2_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + ni2_p 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
MG2uabcpp	Magnesium (Mg+2) ABC transporter (ubtake, periplasm)	Inorganic Ion Transport and Metabolism	atp_c + mg2_p + h2o_c  -> h_c + mg2_c + adp_c + pi_c 	0.00 / 15.43	0.00 / 15.43	0.00 / 18.86	0.82
GLUabcpp	L-glutamate transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + glu__L_p  -> h_c + adp_c + pi_c + glu__L_c 	0.00 / 30.85	0.00 / 30.85	0.00 / 37.73	0.82
LCTSt3ipp	Lactose transport via proton aniport (periplasm)	Transport, Inner Membrane	lcts_c + h_p  -> h_c + lcts_p 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
ARBt3ipp	L-arabinose transport via proton antiport (periplasm)	Transport, Inner Membrane	h_p + arab__L_c  -> h_c + arab__L_p 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
GLYBabcpp	Glycine betaine transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + glyb_p  -> h_c + glyb_c + adp_c + pi_c 	0.00 / 18.51	0.00 / 18.51	0.00 / 22.64	0.82
GLYC3Pt6pp	Glycerol-3-phosphate : phosphate antiporter (periplasm)	Transport, Inner Membrane	pi_c + glyc3p_p  -> glyc3p_c + pi_p 	0.00 / 2.50	0.00 / 2.50	0.00 / 3.06	0.82
GLYCtpp	Glycerol transport via channel (periplasm)	Transport, Inner Membrane	glyc_c  <=> glyc_p 	-4.63 / 0.00	-4.63 / 0.00	-5.66 / 0.00	0.82
HISabcpp	L-histidine transport via ABC system (periplasm)	Transport, Inner Membrane	his__L_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + his__L_c 	0.00 / 30.85	0.00 / 30.85	0.00 / 37.73	0.82
HISt2rpp	L-histidine reversible transport via proton symport (periplasm)	Transport, Inner Membrane	h_p + his__L_p  <=> h_c + his__L_c 	-30.85 / 0.00	-30.85 / 0.00	-37.73 / 0.00	0.82
LYSabcpp	L-lysine transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + lys__L_p  -> h_c + adp_c + pi_c + lys__L_c 	0.00 / 18.51	0.00 / 18.51	0.00 / 22.64	0.82
PPA2	Inorganic triphosphatase	Anaplerotic Reactions	pppi_c + h2o_c  -> h_c + pi_c + ppi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GNK	Gluconokinase	Alternate Carbon Metabolism	atp_c + glcn_c  -> h_c + adp_c + 6pgc_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
HYPOE	Hypothetical enyme	Cofactor and Prosthetic Group Biosynthesis	pyam5p_c + h2o_c  -> pydam_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ZN2abcpp	Zinc (Zn+2) ABC transporter, efflux (periplasm)	Inorganic Ion Transport and Metabolism	zn2_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + zn2_p 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
XANt2pp	Xanthine transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + xan_p  -> h_c + xan_c 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.18	0.82
GLYC3Pabcpp	Sn-Glycerol 3-phosphate transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + glyc3p_p  -> h_c + glyc3p_c + adp_c + pi_c 	0.00 / 2.31	0.00 / 2.31	0.00 / 2.83	0.82
PTRCORNt7pp	Putrescine/ornithine antiporter (periplasm)	Transport, Inner Membrane	ptrc_p + orn_c  <=> orn_p + ptrc_c 	-46.28 / 0.00	-46.28 / 0.00	-56.59 / 0.00	0.82
SPMDabcpp	Spermidine transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + spmd_p  -> h_c + adp_c + pi_c + spmd_c 	0.00 / 18.51	0.00 / 18.51	0.00 / 22.64	0.82
NTPP5	Nucleoside triphosphate pyrophosphorylase (datp)	Nucleotide Salvage Pathway	datp_c + h2o_c  -> h_c + ppi_c + damp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
NADPPPS	NADP phosphatase	Cofactor and Prosthetic Group Biosynthesis	nadp_c + h2o_c  -> nad_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GTPDPDP	Guanosine-5'-triphosphate,3'-diphosphate diphosphatase	Cofactor and Prosthetic Group Biosynthesis	gdptp_c + h2o_c  -> h_c + pi_c + ppgpp_c 	0.00 / 7.71	0.00 / 7.71	0.00 / 9.43	0.82
NMNN	NMN nucleosidase	Cofactor and Prosthetic Group Biosynthesis	h2o_c + nmn_c  -> h_c + r5p_c + ncam_c 	0.00 / 3.31	0.00 / 3.31	0.00 / 4.04	0.82
PPK	Polyphosphate kinase	Oxidative Phosphorylation	pi_c + atp_c  -> adp_c + ppi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	Valine, Leucine, and Isoleucine Metabolism	h_c + 3c4mop_c  -> 4mop_c + co2_c 	0.00 / 0.09	0.00 / 0.09	0.00 / 0.11	0.82
NTP5	Nucleoside-triphosphatase (CTP)	Nucleotide Salvage Pathway	ctp_c + h2o_c  -> h_c + pi_c + cdp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
FORt2pp	Formate transport via proton symport (uptake only, periplasm)	Transport, Inner Membrane	h_p + for_p  -> h_c + for_c 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.19	0.82
NAMNPP	Nicotinic acid mononucleotide pyrophosphorylase	Cofactor and Prosthetic Group Biosynthesis	atp_c + h2o_c + prpp_c + nac_c  -> adp_c + pi_c + ppi_c + nicrnt_c 	0.00 / 3.31	0.00 / 3.31	0.00 / 4.04	0.82
GUAt2pp	Guanine transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + gua_p  -> h_c + gua_c 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.19	0.82
SADH	Succinylarginine dihydrolase	Arginine and Proline Metabolism	2 h_c + 2 h2o_c + sucarg_c  -> sucorn_c + 2 nh4_c + co2_c 	0.00 / 3.31	0.00 / 3.31	0.00 / 4.04	0.82
GLUSy	Glutamate synthase (NADPH)	Glutamate Metabolism	h_c + akg_c + gln__L_c + nadph_c  -> nadp_c + 2 glu__L_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GUAPRT	Guanine phosphoribosyltransferase	Nucleotide Salvage Pathway	gua_c + prpp_c  -> ppi_c + gmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
AACPS5	Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	Cell Envelope Biosynthesis	ocdcea_c + atp_c + ACP_c  -> ppi_c + octeACP_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
MLTG4	Maltodextrin glucosidase (maltohexaose)	Alternate Carbon Metabolism	malthx_c + h2o_c  -> glc__D_c + maltpt_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ARGORNt7pp	Arginine/ornithine antiporter (periplasm)	Transport, Inner Membrane	orn_c + arg__L_p  <=> arg__L_c + orn_p 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
PDE1	3',5'-cyclic-nucleotide phosphodiesterase	Nucleotide Salvage Pathway	h2o_c + camp_c  -> h_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
ALAALAr	D-alanine-D-alanine ligase (reversible)	Cell Envelope Biosynthesis	atp_c + 2 ala__D_c  <=> h_c + adp_c + pi_c + alaala_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
CD2abcpp	Cadmium (Cd+2) ABC transporter (periplasm)	Inorganic Ion Transport and Metabolism	cd2_c + atp_c + h2o_c  -> h_c + adp_c + cd2_p + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
Kt3pp	Potassium transport out via proton antiport (periplasm)	Inorganic Ion Transport and Metabolism	h_p + k_c  -> h_c + k_p 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
NTP1	Nucleoside-triphosphatase (ATP)	Biomass and maintenance functions	atp_c + h2o_c  -> h_c + adp_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PGCD	Phosphoglycerate dehydrogenase	Glycine and Serine Metabolism	3pg_c + nad_c  -> h_c + nadh_c + 3php_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ADSL1r	Adenylsuccinate lyase	Purine and Pyrimidine Biosynthesis	dcamp_c  <=> fum_c + amp_c 	-0.00 / 9.26	-0.00 / 9.26	-0.00 / 11.32	0.82
PYDAMK	Pyridoxamine kinase	Cofactor and Prosthetic Group Biosynthesis	pydam_c + atp_c  -> h_c + adp_c + pyam5p_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PDE4	3',5'-cyclic-nucleotide phosphodiesterase	Nucleotide Salvage Pathway	h2o_c + 35cgmp_c  -> h_c + gmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
THRt2pp	L-threonine efflux transport via proton antiport (periplasm)	Transport, Inner Membrane	thr__L_c + h_p  -> h_c + thr__L_p 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
G6PP	Glucose-6-phosphate phosphatase	Glycolysis/Gluconeogenesis	h2o_c + g6p_c  -> pi_c + glc__D_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GLNS	Glutamine synthetase	Glutamate Metabolism	nh4_c + atp_c + glu__L_c  -> h_c + adp_c + pi_c + gln__L_c 	-0.00 / 23.14	-0.00 / 23.14	0.00 / 28.30	0.82
GTHS	Glutathione synthetase	Cofactor and Prosthetic Group Biosynthesis	atp_c + gly_c + glucys_c  -> h_c + gthrd_c + adp_c + pi_c 	0.00 / 5.44	0.00 / 5.44	0.00 / 6.66	0.82
MLTP1	Maltodextrin phosphorylase (maltopentaose)	Alternate Carbon Metabolism	pi_c + maltpt_c  <=> g1p_c + maltttr_c 	-23.14 / 0.00	-23.14 / 0.00	-28.30 / 0.00	0.82
HXAND	Hypoxanthine dehydrogenase	Nucleotide Salvage Pathway	nad_c + h2o_c + hxan_c  -> h_c + xan_c + nadh_c 	0.00 / 5.14	0.00 / 5.14	0.00 / 6.29	0.82
ADNK1	Adenosine kinase	Nucleotide Salvage Pathway	atp_c + adn_c  -> h_c + adp_c + amp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ZN2t3pp	Zinc (Zn+2) transport out via proton antiport (periplasm)	Inorganic Ion Transport and Metabolism	h_p + zn2_c  -> h_c + zn2_p 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.19	0.82
MNt2pp	Manganese (Mn+2) transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + mn2_p  -> h_c + mn2_c 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.19	0.82
R5PP	Ribose 5-phosphate phosphatase	Alternate Carbon Metabolism	r5p_c + h2o_c  -> rib__D_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
CYStpp	L-cysteine export via facilitated transport	Transport, Inner Membrane	cys__L_c  -> cys__L_p 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NTP10	Nucleoside-triphosphatase (ITP)	Nucleotide Salvage Pathway	h2o_c + itp_c  -> h_c + pi_c + idp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PRAIS	Phosphoribosylaminoimidazole synthase	Purine and Pyrimidine Biosynthesis	fpram_c + atp_c  -> 2 h_c + adp_c + air_c + pi_c 	-0.00 / 0.09	0.00 / 0.09	0.00 / 0.11	0.82
GPDDA4	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)	Glycerophospholipid Metabolism	g3pg_c + h2o_c  -> h_c + glyc3p_c + glyc_c 	0.00 / 2.31	0.00 / 2.31	0.00 / 2.83	0.82
LPLIPAL2G161	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)	Glycerophospholipid Metabolism	h2o_c + 2agpg161_c  -> h_c + hdcea_c + g3pg_c 	0.00 / 2.31	0.00 / 2.31	0.00 / 2.83	0.82
LPLIPAL2G181	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)	Glycerophospholipid Metabolism	2agpg181_c + h2o_c  -> h_c + g3pg_c + ocdcea_c 	0.00 / 2.31	0.00 / 2.31	0.00 / 2.83	0.82
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2agpe120_p  -> 2agpe120_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
AACPS7	Acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	Cell Envelope Biosynthesis	atp_c + ddca_c + ACP_c  -> ppi_c + ddcaACP_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
G3PGabcpp	Sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + g3pg_p  -> h_c + g3pg_c + adp_c + pi_c 	0.00 / 1.78	0.00 / 1.78	0.00 / 2.18	0.82
LPLIPAL2G180	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)	Glycerophospholipid Metabolism	2agpg180_c + h2o_c  -> h_c + g3pg_c + ocdca_c 	0.00 / 2.31	0.00 / 2.31	0.00 / 2.83	0.82
LPLIPAL2G141	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)	Glycerophospholipid Metabolism	h2o_c + 2agpg141_c  -> h_c + g3pg_c + ttdcea_c 	0.00 / 2.31	0.00 / 2.31	0.00 / 2.83	0.82
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2ddecg3p_p  -> 2ddecg3p_c 	0.00 / 3.19	0.00 / 3.19	0.00 / 3.90	0.82
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2agpg180_p  -> 2agpg180_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	Glycerophospholipid Metabolism	ocdca_c + 2agpg180_c + atp_c  -> ppi_c + pg180_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	Glycerophospholipid Metabolism	ocdcea_c + atp_c + 2agpg181_c  -> ppi_c + pg181_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1E140pp	Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)	Glycerophospholipid Metabolism	pe140_p + h2o_p  -> 2agpe140_p + h_p + ttdca_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1E160pp	Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe160_p  -> hdca_p + h_p + 2agpe160_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1E161pp	Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe161_p  -> h_p + 2agpe161_p + hdcea_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
AACPS8	Acyl-[acyl-carrier-protein] synthetase  (n-C10:0)	Cell Envelope Biosynthesis	dca_c + atp_c + ACP_c  -> ppi_c + dcaACP_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
AACPS9	Acyl-[acyl-carrier-protein] synthetase  (n-C8:0)	Cell Envelope Biosynthesis	octa_c + atp_c + ACP_c  -> ocACP_c + ppi_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
HXCT	Acetyl-CoA:hexanoate-CoA transferase	Alternate Carbon Metabolism	accoa_c + hxa_c  -> ac_c + hxcoa_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	Glycerophospholipid Metabolism	atp_c + 2agpe160_c + hdca_c  -> ppi_c + pe160_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
NTD11	5'-nucleotidase (IMP)	Nucleotide Salvage Pathway	imp_c + h2o_c  -> pi_c + ins_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
FACOAL181t2pp	Fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling)	Cell Envelope Biosynthesis	ocdcea_p + h_p + atp_c + coa_c  -> h_c + odecoa_c + ppi_c + amp_c 	0.00 / 5.00	0.00 / 5.00	0.00 / 6.12	0.82
EAR141y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	Cell Envelope Biosynthesis	h_c + t3c7mrseACP_c + nadph_c  -> tdeACP_c + nadp_c 	0.00 / 2.87	0.00 / 2.87	0.00 / 3.50	0.82
DASYN160	CDP-diacylglycerol synthetase (n-C16:0)	Glycerophospholipid Metabolism	h_c + pa160_c + ctp_c  -> ppi_c + cdpdhdecg_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
DASYN161	CDP-diacylglycerol synthetase (n-C16:1)	Glycerophospholipid Metabolism	h_c + ctp_c + pa161_c  -> cdpdhdec9eg_c + ppi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
DASYN181	CDP-diacylglycerol synthetase (n-C18:1)	Glycerophospholipid Metabolism	h_c + pa181_c + ctp_c  -> ppi_c + cdpdodec11eg_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
CDAPPA161	CDP-Diacylglycerol pyrophostatase (n-C16:1)	Glycerophospholipid Metabolism	cdpdhdec9eg_c + h2o_c  -> 2 h_c + pa161_c + cmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
PGSA180	Phosphatidylglycerol synthase (n-C18:0)	Glycerophospholipid Metabolism	glyc3p_c + cdpdodecg_c  -> h_c + cmp_c + pgp180_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	Glycerophospholipid Metabolism	atp_c + 2agpg141_c + ttdcea_c  -> ppi_c + pg141_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1E120pp	Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe120_p  -> h_p + ddca_p + 2agpe120_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
URAt2pp	Uracil transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + ura_p  -> h_c + ura_c 	0.00 / 92.56	0.00 / 92.56	0.00 / 113.18	0.82
ALAALAD	D-alanine-D-alanine dipeptidase	Murein Recycling	h2o_c + alaala_c  -> 2 ala__D_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	Glycerophospholipid Metabolism	ocdca_c + atp_c + 2agpe180_c  -> ppi_c + pe180_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	Glycerophospholipid Metabolism	ocdcea_c + atp_c + 2agpe181_c  -> pe181_c + ppi_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	Glycerophospholipid Metabolism	atp_c + ttdca_c + 2agpg140_c  -> ppi_c + pg140_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1E181pp	Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe181_p  -> ocdcea_p + h_p + 2agpe181_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1G180pp	Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg180_p  -> h_p + 2agpg180_p + ocdca_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
PLIPA1G181pp	Phospholipase A1 (phosphatidylglycerol, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pg181_p  -> 2agpg181_p + ocdcea_p + h_p 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
HEXt2rpp	Hexanoate transport via proton symport, reversible (periplasm)	Transport, Inner Membrane	h_p + hxa_p  <=> h_c + hxa_c 	-11.57 / 0.00	-11.57 / 0.00	-14.15 / 0.00	0.82
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	Glycerophospholipid Metabolism	hdcea_c + atp_c + 2agpg161_c  -> pg161_c + ppi_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
GTHRDabcpp	Reduced glutathione via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + gthrd_p  -> h_c + gthrd_c + adp_c + pi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2agpg140_p  -> 2agpg140_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2agpg160_p  -> 2agpg160_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2agpg141_p  -> 2agpg141_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2agpg161_p  -> 2agpg161_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	Transport, Inner Membrane	2agpg181_p  -> 2agpg181_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	Glycerophospholipid Metabolism	2agpe140_c + atp_c + ttdca_c  -> ppi_c + pe140_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	Glycerophospholipid Metabolism	2agpe120_c + atp_c + ddca_c  -> pe120_c + ppi_c + amp_c 	0.00 / 4.63	0.00 / 4.63	0.00 / 5.66	0.82
